Date : 2025-03-26 00:03:26
Directory : /home/alberic/Documents/Cours/ramio_project
Total : 299 files,  20707 codes, 1776 comments, 1283 blanks, all 23766 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_6.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_6.js                     | JavaScript |          2 |          0 |          0 |          2 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_7.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_8.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_8.js                     | JavaScript |          1 |          0 |          0 |          1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_9.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_a.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_a.js                     | JavaScript |         -1 |          0 |          0 |         -1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_b.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_b.js                     | JavaScript |         -1 |          0 |          0 |         -1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_c.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_d.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_e.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_e.js                     | JavaScript |          1 |          0 |          0 |          1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_f.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/nomatches.html                     | HTML       |         12 |          0 |          1 |         13 |
| /home/alberic/Documents/Cours/ramio_project/html/search/search.css                         | CSS        |        220 |          5 |         47 |        272 |
| /home/alberic/Documents/Cours/ramio_project/html/search/search.js                          | JavaScript |        688 |         60 |         67 |        815 |
| /home/alberic/Documents/Cours/ramio_project/html/search/searchdata.js                      | JavaScript |         33 |          0 |          4 |         37 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_0.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_1.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_10.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_10.js                    | JavaScript |         19 |          0 |          0 |         19 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_11.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_11.js                    | JavaScript |         -1 |          0 |          0 |         -1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_12.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/variables_13.html                  | HTML       |         21 |          9 |          1 |         31 |
